PFS EBPPP Listing,Strategy,Population,Setting (if specified),Primary Problem,Secondary Problem 
3rd Millennium Classrooms,Problem ID/Referral/Education,Ages 13-18 and college//,School or College,"Alcohol, Marijuana",
Aban Aya Youth Project,Education,Grades 5-8/African-American/Violence,School and Community,,
Across Ages,Education,"Ages 9-13//Poverty, 
Substance use, 
Drug-related crime Unemployment",School and Community,"Alcohol, Prescription Drug Abuse","Tobacco, Inhalent Use, Marijuana, Methamphetamine, Suicide Prevention, Violence/Bullying"
Active Enforcement of Sales Laws Directed at Retailers,Environmental,Ages 18 and under//,Community,"Alcohol, Tobacco",
Active Parenting,Education,Parents of children ages 5-12//,School or Community,,
Adolescent Transitions Program,Education,Grades 6-8//,School,,
Alcohol Compliance Checks,Environmental,Ages 20 and under//,Community,Alcohol,
Alcohol Literacy Challenge,Education,Grades 5-12 and College//,School,Alcohol,
Alcohol Misuse Prevention Study,Education,"Grades 5, 6, and 10//",School,Alcohol,
Alcohol: True Stories Hosted by Matt Damon,Education,Grades 5-12//,School,Alcohol,
AlcoholEdu,Education,First year college//,Web-based,Alcohol,
All Stars,Education,Grades 5-8 //,"School, Afterschool, or Community",Alcohol,"Tobacco, Heroin, Marijuana, Methamphetamine, Prescription Drug Abuse, Synthetic Use, Suicide Prevention, Violence/Bullying"
American Indian Life Skills Development/Zuni Life Skills Development,Education,Ages 13-17/American Indian and Alaskan Native/,"School, Afterschool, or Community",,
An Apple A Day,Education,Grades Pre-K-4//,"School, Afterschool, and Community",,
ATHENA (Athletes Targeting Healthy Exercise and Nutrition Alternatives),Education,Grades 8-12//,Afterschool,,
ATLAS (Athletes Training and Learning To Avoid Steroids),Education,Grades 8-12//,School,,
Behavioral Monitoring and Reinforcement Program,Education,"Grades 6-9// Juvenile delinquency,
 Substance use, 
School failure",School,,
Bicultural Competence Skills Approach,Education,Grades 3-8/ Bicultural (Native American)/,School,,
Big Brothers Big Sisters Mentoring Program,Alternative Activity,Ages 5-17//,Community,,
Blues Program (Cognitive Behavioral Group Depression Prevention),Education,Ages 15-17//Depression,School or Community,,
BrainTrain4Kids,Education,Ages 7-9//,Web-based,,
Brief Alcohol Screening and Intervention for College Students (BASICS),Problem ID/Referral,College Students//,College,Alcohol,
Brief Motivational Intervention (BMI),Problem ID/Referral,College Students//,College,,
Brief Strategic Family Therapy (BSFT),Education,"Ages 6-18 and parents//Truancy, 
Delinquency, 
Substance abuse",Community,,
Broader Urban Involvement and Leadership Development Program (BUILD),Education,Ages 13-14//Detained,School and Community,,
Building Assets--Reducing Risks (BARR),Education,Grades 9-12//,School,Alcohol,"Tobacco, Inhalent Use, Marijuana, Methamphetamine, Prescription Drug Abuse, Suicide Prevention, Violence/Bullying"
Campus Wide Social Norms Campaign ,Environmental,College Students//,College,,
Caring School Community Program,Education,Grades K-8//,School,,
CASASTART (Striving Together to Achieve Rewarding Tomorrows),Community-Based Process,Ages 11-13//High Risk,Community,,
CAST (Coping And Support Training),Education,Grades 6-12//Suicide,School,,
